Timestamp local time,Store ID,Store name,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Total tips,Commission,Tax (commission),Merchant fees | (for historical reference only),Tax (merchant fees) | (for historical reference only),Error charges,Adjustments | (for historical reference only),Net total,Payout date,Payout ID,Merchant fees,Tax (merchant fees),Marketing fees & discounts | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Adjustments
2024-12-07 14:39:49.399008000,787703,Pizza Palace (Reisterstown),11898243593,F4DA0DCE,NULL,Order,Self-delivery,NULL,20.49,1.05,0.00,0.00,2.00,-2.10,0.00,-3.99,0.00,0.00,0.00,17.45,2024-12-11,445923761,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-07 15:25:54.680702000,787703,Pizza Palace (Reisterstown),11898676183,B67ACA6E,NULL,Order,Self-delivery,NULL,43.97,2.28,0.00,0.00,0.00,-2.28,0.00,-6.99,0.00,0.00,0.00,36.98,2024-12-11,445923761,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-07 16:58:11.384923000,787703,Pizza Palace (Reisterstown),11899593903,C92C1533,NULL,Order,Self-delivery,NULL,15.49,0.80,2.99,0.00,4.50,-1.98,0.00,-3.31,0.00,0.00,0.00,18.49,2024-12-11,445923761,0.00,0.00,-3.31,0.00,0.00,0.00
2024-12-07 18:26:10.994401000,787703,Pizza Palace (Reisterstown),11900658863,B12F3F68,NULL,Order,Self-delivery,NULL,43.97,2.64,3.99,0.00,3.00,0.00,0.00,-1.98,0.00,0.00,0.00,51.62,2024-12-11,445923761,-1.98,0.00,0.00,0.00,0.00,0.00
2024-12-07 19:30:37.645970000,787703,Pizza Palace (Reisterstown),11901560433,1EB6C8B3,NULL,Fee,Self-delivery,Ad fee for order_id: 1EB6C8B3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.78,0.00,0.00,0.00,-5.78,2024-12-11,445923761,0.00,0.00,-5.78,0.00,0.00,0.00
2024-12-07 19:38:04.782430000,787703,Pizza Palace (Reisterstown),11901669560,8A2D61C1,NULL,Order,Self-delivery,NULL,17.98,0.92,2.99,0.00,0.00,-2.29,0.00,-3.69,0.00,0.00,0.00,15.91,2024-12-11,445923761,0.00,0.00,-3.69,0.00,0.00,0.00
2024-12-07 20:03:02.923668000,787703,Pizza Palace (Reisterstown),11902027929,B8805648,NULL,Order,Self-delivery,NULL,55.95,3.36,0.00,0.00,0.00,-3.36,0.00,0.00,0.00,0.00,0.00,55.95,2024-12-11,445923761,0.00,0.00,0.00,0.00,0.00,0.00
2024-12-07 20:03:05.288601000,787703,Pizza Palace (Reisterstown),11902028507,1EB6C8B3,NULL,Order,Self-delivery,NULL,15.99,0.82,0.00,0.00,1.20,-1.63,0.00,-3.39,0.00,0.00,0.00,12.99,2024-12-11,445923761,0.00,0.00,-3.39,0.00,0.00,0.00
2024-12-07 21:30:48.192670000,787703,Pizza Palace (Reisterstown),11903220673,14B437D4,NULL,Order,Self-delivery,NULL,35.48,1.81,0.00,0.00,4.50,-3.62,0.00,-6.31,0.00,0.00,0.00,31.86,2024-12-11,445923761,0.00,0.00,-6.31,0.00,0.00,0.00
2024-12-07 22:04:59.628200000,787703,Pizza Palace (Reisterstown),11903620073,05214EDC,NULL,Fee,Self-delivery,Ad fee for order_id: 05214EDC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.72,0.00,0.00,0.00,-5.72,2024-12-11,445923761,0.00,0.00,-5.72,0.00,0.00,0.00
2024-12-07 22:38:53.526892000,787703,Pizza Palace (Reisterstown),11903967175,05214EDC,NULL,Order,Self-delivery,NULL,31.13,1.59,2.99,0.00,3.00,-3.97,0.00,-5.66,0.00,0.00,0.00,29.08,2024-12-11,445923761,0.00,0.00,-5.66,0.00,0.00,0.00
2024-12-08 06:26:18.248614000,787703,Pizza Palace (Reisterstown),11905793334,NULL,NULL,Fee,NULL,Tablet fee,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,-3.00,2024-12-12,446482003,-3.00,0.00,0.00,0.00,0.00,0.00
2024-12-08 15:04:09.743330000,787703,Pizza Palace (Reisterstown),11908546536,2B0B0FE2,NULL,Order,Self-delivery,NULL,44.23,2.30,0.00,0.00,5.75,-4.59,0.00,-6.99,0.00,0.00,0.00,40.70,2024-12-12,446482003,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-08 17:12:16.006783000,787703,Pizza Palace (Reisterstown),11909793817,49BEA07D,NULL,Order,Self-delivery,NULL,73.46,4.05,0.00,0.00,5.00,-8.10,0.00,-6.99,0.00,0.00,0.00,67.42,2024-12-12,446482003,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-09 14:40:59.560554000,787703,Pizza Palace (Reisterstown),11917270985,10407751,NULL,Order,Self-delivery,NULL,21.98,1.14,0.00,0.00,10.00,-2.28,0.00,-3.99,0.00,0.00,0.00,26.85,2024-12-13,446524911,0.00,0.00,-3.99,0.00,0.00,0.00
2024-12-09 20:26:23.599802000,787703,Pizza Palace (Reisterstown),11920522995,13FF473A,NULL,Fee,Self-delivery,Ad fee for order_id: 13FF473A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.98,0.00,0.00,0.00,-3.98,2024-12-13,446524911,0.00,0.00,-3.98,0.00,0.00,0.00
2024-12-09 21:30:43.682018000,787703,Pizza Palace (Reisterstown),11921215974,13FF473A,NULL,Order,Self-delivery,NULL,17.49,0.90,2.99,0.00,3.50,-2.23,0.00,-3.61,0.00,0.00,0.00,19.04,2024-12-13,446524911,0.00,0.00,-3.61,0.00,0.00,0.00
2024-12-09 22:05:06.252156000,787703,Pizza Palace (Reisterstown),11921528201,788AD054,NULL,Order,Self-delivery,NULL,80.21,4.46,2.99,0.00,7.00,-11.13,0.00,-6.99,0.00,0.00,0.00,76.54,2024-12-13,446524911,0.00,0.00,-6.99,0.00,0.00,0.00
